ID,true_easting,true_northing,easting_off_grid3_se_corner,northing_off_grid3_se_corner
551,680618.2879,4168989.112,-59180.13812,70750.80921
552,727353.3346,4122134.131,-12445.09143,23895.82789
554,685305.6187,4158551.279,-54492.80726,60312.97628
555,720660.2858,4130819.96,-19138.14016,32581.65707
557,708700.754,4142480.558,-31097.67204,44242.25487
558,735563.3708,4105340.473,-4235.055239,7102.169645
559,719017.4269,4129789.578,-20780.99907,31551.27549
560,704116.4056,4125840.197,-35682.0204,27601.89358
561,681417.3291,4149568.83,-58381.09686,51330.52672
563,727979.6475,4111616.423,-11818.77849,13378.11986
564,712774.2483,4133447.289,-27024.17765,35208.98554
565,728248.6606,4126509.406,-11549.76538,28271.1028
567,683102.7378,4172393.123,-56695.68816,74154.81986
569,674728.2784,4154906.157,-65070.14761,56667.85358
570,667856.5586,4157603.419,-71941.86735,59365.1162
571,682359.6271,4150130.819,-57438.79887,51892.51559
577,736062.2794,4208690.154,-3736.146557,110451.8508
578,727793.2359,4114144.956,-12005.1901,15906.65291
579,717753.9093,4117550.499,-22044.51672,19312.19644
580,684697.4306,4164243.735,-55100.99542,66005.43227
581,667700.8281,4140214.22,-72097.59788,41975.91706
583,686059.9438,4159727.115,-53738.48218,61488.81153
584,717373.0546,4104558.024,-22425.37138,6319.720625
585,729602.6927,4116805.706,-10195.73328,18567.40264
586,681254.441,4145761.371,-58543.98503,47523.06802
587,731463.5113,4109201.959,-8334.914746,10963.65641
588,709137.8122,4133201.97,-30660.61381,34963.66698
589,694761.515,4132046.673,-45036.91095,33808.36952
592,676940.2972,4151181.453,-62858.12878,52943.14992
593,685173.2696,4153225.148,-54625.15638,54986.84451
597,729252.0938,4102686.248,-10546.33224,4447.945001
598,668217.443,4143421.495,-71580.98301,45183.19233
599,738641.5546,4117555.275,-1156.871446,19316.97183
600,687161.4253,4158273.786,-52637.0007,60035.48297
602,675335.6536,4144541.226,-64462.77241,46302.92348
606,692103.3162,4150607.521,-47695.10982,52369.21795
607,684765.1516,4158644.315,-55033.27442,60406.01174
608,719923.8937,4121038.754,-19874.53235,22800.45106
609,676916.1715,4151698.597,-62882.25454,53460.29388
612,709262.8325,4128876.426,-30535.59354,30638.12262
613,703991.7079,4121012.976,-35806.71807,22774.67311
615,683641.8528,4161485.923,-56156.57317,63247.61981
616,694078.6396,4141740.582,-45719.78636,43502.27924
617,695079.039,4147512.422,-44719.387,49274.11923
619,669928.3047,4138711.059,-69870.12129,40472.75564
620,681940.6293,4156027.303,-57857.79669,57788.99958
622,652865.725,4173979.406,-86932.70095,75741.10312
623,686174.6867,4167503.642,-53623.73927,69265.33864
624,699299.5347,4150298.074,-40498.89134,52059.77058
625,683390.8651,4161175.689,-56407.56089,62937.38631
626,715862.2036,4125394.866,-23936.22241,27156.56293
627,666832.2189,4172138.178,-72966.20706,73899.8746
628,663023.6484,4167786.515,-76774.7776,69548.21239
629,738611.8353,4115373.571,-1186.590693,17135.26794
630,701556.9446,4101612.982,-38241.48139,3374.679219
632,674109.0515,4156522.755,-65689.3745,58284.45212
634,680473.8847,4171169.371,-59324.54127,72931.06813
636,688063.0958,4150196.576,-51735.33024,51958.27263
637,671346.8408,4154737.395,-68451.58522,56499.09192
638,719136.4553,4130929.555,-20661.97068,32691.25176
641,720796.9699,4122779.69,-19001.45607,24541.38708
642,694242.1213,4148737.493,-45556.30475,50499.19041
643,709284.8086,4104632.456,-30513.61744,6394.152549
646,721865.2217,4153691.958,-17933.20433,55453.65468
647,678356.2089,4149980.879,-61442.21714,51742.5765
648,703556.4169,4116262.746,-36242.00909,18024.44275
649,738905.9693,4115237.205,-892.4567223,16998.90167
651,651368.6217,4160796.256,-88429.80429,62557.95348
652,692597.0667,4098599.581,-47201.35926,361.2779398
655,684764.663,4124264.345,-55033.76305,26026.0415
656,727924.2802,4100272.418,-11874.14577,2034.114551
657,713454.2046,4127865.064,-26344.22141,29626.76096
659,723345.2666,4127113.59,-16453.15944,28875.28736
660,656999.5386,4153324.366,-82798.88744,55086.06329
663,686191.1454,4148994.499,-53607.28063,50756.19643
664,676200.6375,4162214.167,-63597.78849,63975.86401
665,691870.7592,4145662.18,-47927.66677,47423.87694
666,654514.7995,4158381.108,-85283.62652,60142.80472
667,676051.7047,4159221.058,-63746.72129,60982.75478
669,734044.6855,4105460.501,-5753.740461,7222.197904
